date,count
2025-10-18,1
2025-11-23,1
2025-11-30,1
2025-12-02,1
2026-02-05,1
2026-02-06,1
2026-02-09,1
2026-02-23,2
2026-03-03,1
2026-03-10,2
2026-03-17,1
2026-03-18,1
2026-03-26,2
2026-04-01,1
2026-04-08,1
2026-04-09,1
2026-04-18,1
2026-04-22,1
2026-04-23,1
2026-04-27,1
2026-04-28,1
2026-04-29,1
2026-04-30,1
2026-05-01,1
2026-05-07,1
2026-05-13,1
2026-06-08,2
2026-06-15,2
2026-06-16,2
2026-06-18,2
2026-06-20,1
2026-06-22,1
2026-06-24,1
2026-06-26,1
2026-06-27,2
2026-07-01,1
2026-07-02,1
2026-07-03,2
2026-07-05,1
2026-07-06,11
2026-07-07,7
2026-07-08,2
2026-07-09,1
