date,article_count,total_articles_norm
20250101,4,110544
20250102,8,166479
20250103,9,172746
20250104,1,102004
20250105,2,90987
20250106,6,159758
20250107,9,150772
20250108,8,177479
20250109,9,181403
20250110,4,155374
20250111,9,109738
20250112,4,70901
20250113,7,131607
20250114,9,127172
20250115,6,150299
20250116,8,138396
20250117,13,155773
20250118,36,128684
20250119,5,110387
20250120,8,187476
20250121,19,212622
20250122,18,187993
20250123,18,195938
20250124,10,189463
20250125,31,110440
20250126,13,102184
20250127,45,138628
20250128,35,190351
20250129,13,168274
20250130,21,157324
20250131,8,167534
20250201,6,92039
20250202,4,110377
20250203,6,186101
20250204,11,162139
20250205,14,186388
20250206,8,202216
20250207,10,158384
20250208,3,132743
20250209,6,115863
20250210,12,140672
20250211,9,182701
20250212,15,185809
20250213,9,118550
20250214,4,161128
20250215,3,138021
20250216,1,127452
20250217,4,139350
20250218,8,153238
20250219,13,199733
20250220,10,205029
20250221,10,174412
20250222,5,107777
20250223,3,116624
20250224,13,135066
20250225,23,182279
20250226,14,182552
20250227,10,172936
20250228,23,161894
20250301,5,131626
20250302,3,131604
20250303,5,172234
20250304,7,159421
20250305,16,181208
20250306,10,187926
20250307,5,166003
20250308,2,109079
20250309,2,119609
20250310,4,129782
20250311,13,171286
20250312,9,213354
20250313,5,163234
20250314,7,143512
20250315,3,150245
20250316,6,112469
20250317,5,160620
20250318,2,147941
20250319,5,149691
20250320,8,197273
20250321,5,172522
20250322,1,149284
20250323,2,104219
20250324,3,153599
20250325,9,204855
20250326,8,185704
20250327,4,193692
20250328,15,191047
20250329,37,134699
20250330,6,86924
20250331,10,172293
20250401,8,172861
20250402,27,188793
20250403,29,221947
20250404,36,185299
20250405,8,147776
20250406,8,118945
20250407,6,137322
20250408,16,175789
20250409,37,201814
20250410,32,189314
20250411,13,166352
20250412,5,176536
20250413,9,115680
20250414,8,127257
20250415,5,177031
20250416,6,194439
20250417,23,196536
20250418,13,183104
20250419,3,114390
20250420,1,113903
20250421,10,143372
20250422,13,184415
20250423,8,165490
20250424,4,137983
20250425,13,183720
20250426,41,140252
20250427,5,115405
20250428,11,143480
20250429,5,194849
20250430,3,168980
20250501,14,173886
20250502,7,158770
20250503,2,89978
20250504,3,116129
20250505,9,168173
20250506,7,181052
20250507,42,243794
20250508,17,184921
20250509,12,170563
20250510,2,153500
20250511,1,114321
20250512,9,120174
20250513,6,176961
20250514,22,189461
20250515,9,186698
20250516,11,139790
20250517,3,97351
20250518,1,109054
20250519,6,131172
20250520,18,203626
20250521,9,193050
20250522,10,163960
