date,article_count,total_articles_norm
20250101,1,110544
20250102,4,166479
20250103,4,172746
20250104,8,102004
20250105,1,90987
20250106,4,159758
20250107,3,150772
20250108,10,177479
20250109,10,181403
20250110,0,155374
20250111,1,109738
20250112,1,70901
20250113,3,131607
20250114,6,127172
20250115,22,150299
20250116,11,138396
20250117,19,155773
20250118,30,128684
20250119,3,110387
20250120,7,187476
20250121,13,212622
20250122,11,187993
20250123,6,195938
20250124,5,189463
20250125,19,110440
20250126,11,102184
20250127,9,138628
20250128,22,190351
20250129,4,168274
20250130,3,157324
20250131,12,167534
20250201,14,92039
20250202,4,110377
20250203,13,186101
20250204,16,162139
20250205,13,186388
20250206,18,202216
20250207,12,158384
20250208,6,132743
20250209,4,115863
20250210,6,140672
20250211,100,182701
20250212,10,185809
20250213,11,118550
20250214,3,161128
20250215,2,138021
20250216,2,127452
20250217,7,139350
20250218,4,153238
20250219,6,199733
20250220,9,205029
20250221,9,174412
20250222,10,107777
20250223,6,116624
20250224,9,135066
20250225,8,182279
20250226,4,182552
20250227,3,172936
20250228,9,161894
20250301,3,131626
20250302,2,131604
20250303,6,172234
20250304,4,159421
20250305,5,181208
20250306,1,187926
20250307,9,166003
20250308,2,109079
20250309,2,119609
20250310,6,129782
20250311,8,171286
20250312,17,213354
20250313,7,163234
20250314,4,143512
20250315,7,150245
20250316,2,112469
20250317,3,160620
20250318,0,147941
20250319,5,149691
20250320,8,197273
20250321,9,172522
20250322,2,149284
20250323,2,104219
20250324,13,153599
20250325,13,204855
20250326,10,185704
20250327,4,193692
20250328,11,191047
20250329,4,134699
20250330,5,86924
20250331,15,172293
20250401,25,172861
20250402,6,188793
20250403,8,221947
20250404,5,185299
20250405,9,147776
20250406,3,118945
20250407,3,137322
20250408,8,175789
20250409,6,201814
20250410,5,189314
20250411,11,166352
20250412,4,176536
20250413,3,115680
20250414,3,127257
20250415,9,177031
20250416,4,194439
20250417,5,196536
20250418,5,183104
20250419,5,114390
20250420,3,113903
20250421,5,143372
20250422,18,184415
20250423,18,165490
20250424,8,137983
20250425,5,183720
20250426,3,140252
20250427,3,115405
20250428,2,143480
20250429,8,194849
20250430,2,168980
20250501,9,173886
20250502,5,158770
20250503,1,89978
20250504,1,116129
20250505,4,168173
20250506,1,181052
20250507,11,243794
20250508,22,184921
20250509,15,170563
20250510,1,153500
20250511,2,114321
20250512,5,120174
20250513,4,176961
20250514,11,189461
20250515,7,186698
20250516,1,139790
20250517,1,97351
20250518,2,109054
20250519,2,131172
20250520,37,203626
20250521,7,193050
