date,close
20250102,21.85
20250103,27.25
20250106,30.00
20250107,29.50
20250108,26.12
20250110,25.24
20250113,22.88
20250114,22.81
20250115,24.17
20250116,24.23
20250117,26.05
20250121,31.25
20250122,34.17
20250123,38.78
20250124,41.82
20250127,31.11
20250128,34.12
20250129,35.30
20250130,41.91
20250131,41.61
20250203,45.93
20250204,46.89
20250205,50.50
20250206,47.76
20250207,55.49
20250210,53.73
20250211,50.08
20250212,54.38
20250213,55.03
20250214,52.62
20250218,50.19
20250219,45.12
20250220,42.66
20250221,38.79
20250224,34.08
20250225,32.07
20250226,35.19
20250227,32.39
20250228,33.39
20250303,29.38
20250304,30.92
20250305,30.29
20250306,25.97
20250307,26.27
20250310,23.69
20250311,25.47
20250312,26.19
20250313,23.95
20250314,27.72
20250317,28.00
20250318,26.02
20250319,28.05
20250320,27.77
20250321,27.16
20250324,30.91
20250325,28.93
20250326,26.37
20250327,23.82
20250328,22.39
20250331,21.63
20250401,22.53
20250402,22.70
20250403,21.89
20250404,19.80
20250407,21.93
20250408,20.23
20250409,24.08
20250410,22.72
20250411,22.50
20250414,22.55
20250415,23.00
20250416,21.56
20250417,21.98
20250421,20.39
20250422,21.53
20250423,23.37
20250424,24.32
20250425,23.74
20250428,24.49
20250429,24.44
20250430,23.74
20250501,26.31
20250502,26.24
20250505,25.47
20250506,28.66
20250507,27.12
20250508,26.95
20250509,28.09
20250512,28.85
20250513,32.03
20250514,37.01
20250515,37.41
20250516,37.72
20250519,39.73
20250520,37.57
20250521,36.81
20250522,39.72
20250523,48.87
20250527,53.90
20250528,55.24
20250529,52.93
20250530,52.72
20250602,52.44
20250603,49.77
20250604,49.09
20250605,47.16
20250606,50.29
20250609,54.26
20250610,52.54
20250611,68.03
20250612,64.48
20250613,63.66
20250616,65.45
20250617,62.77
20250618,62.02
20250620,57.95
20250623,55.11
20250624,60.71
20250625,55.57
20250626,55.85
20250627,55.26
20250630,55.99
20250701,51.74
20250702,51.33
20250703,53.72
20250707,55.94
20250708,53.52
20250709,53.93
20250710,55.45
20250711,56.08
20250714,62.41
20250715,60.95
20250716,64.37
20250717,67.17
20250718,68.98
20250721,62.51
20250722,61.32
20250723,66.97
20250724,74.59
20250725,75.50
20250728,75.50
20250729,71.01
20250730,75.63
20250731,76.59
20250801,71.49
20250804,76.41
20250805,84.09
20250806,83.10
20250807,79.32
20250808,75.32
20250811,71.86
20250812,78.47
20250813,77.42
20250814,73.66
20250815,71.06
20250818,68.99
20250819,65.41
20250820,66.57
20250821,67.19
20250822,70.38
20250825,71.19
20250826,74.31
20250827,73.20
20250828,77.89
20250829,73.64
20250902,73.59
20250903,72.23
20250904,69.61
20250905,69.79
20250908,70.72
20250909,73.97
20250910,73.75
20250911,79.97
20250912,82.71
20250915,95.68
20250916,95.83
20250917,95.29
20250918,104.97
20250919,135.23
20250922,140.30
20250923,142.65
20250924,131.17
20250925,119.13
20250926,110.53
20250929,116.51
20250930,111.63
20251001,115.93
20251002,128.80
20251003,127.36
20251006,138.56
20251007,134.12
20251008,134.77
20251009,138.13
20251010,147.16
20251013,171.01
20251014,174.14
20251015,171.56
20251016,162.14
20251017,163.39
20251020,159.05
20251021,139.44
20251022,120.12
20251023,124.70
20251024,136.05
20251027,137.43
20251028,132.28
20251029,143.42
20251030,137.39
20251031,132.77
20251103,126.67
20251104,112.23
20251105,121.23
20251106,106.75
20251107,112.65
20251110,111.52
20251111,104.22
20251112,111.17
20251113,101.64
20251114,97.57
20251117,95.36
20251118,96.63
20251119,102.86
20251120,88.00
20251121,88.17
20251124,89.55
20251125,85.77
20251126,88.72
20251128,91.38
20251201,87.36
20251202,91.84
20251203,96.59
20251204,111.65
20251205,104.67
20251208,104.61
20251209,103.93
20251210,100.60
20251211,103.00
20251212,87.42
20251215,82.33
20251216,83.51
20251217,75.94
20251218,77.72
20251219,83.23
20251222,83.44
20251223,81.88
20251224,81.31
20251226,76.92
20251229,74.09
20251230,71.62
20251231,71.76
20260102,77.80
20260105,89.34
20260106,95.60
20260107,97.60
20260108,97.60
20260109,105.31
20260112,102.50
20260113,97.09
20260114,95.97
20260115,91.45
20260116,94.95
20260120,89.93
20260121,90.78
20260122,90.93
20260123,87.63
20260126,82.31
20260127,85.27
20260128,94.39
20260129,86.04
20260130,79.62
20260202,73.62
20260203,78.00
20260204,68.23
20260205,62.14
20260206,71.10
20260209,75.05
20260210,69.47
20260211,66.23
20260212,63.92
20260213,65.69
20260217,67.64
20260218,67.39
20260219,67.64
20260220,63.83
20260223,63.09
20260224,65.06
20260225,66.32
20260226,69.07
20260227,62.95
20260302,64.68
20260303,63.30
20260304,65.65
20260305,62.03
20260306,58.25
20260309,61.78
20260310,61.38
20260311,62.76
20260312,59.59
20260313,58.37
20260316,59.69
20260317,60.53
20260318,56.70
20260319,54.69
20260320,53.97
20260323,56.26
20260324,54.96
20260325,55.27
20260326,51.81
20260327,50.23
20260330,45.58
20260331,49.59
20260401,48.07
20260402,48.13
20260406,48.76
20260407,46.59
20260408,50.21
20260409,47.75
20260410,50.25
20260413,53.94
20260414,58.58
20260415,63.35
20260416,64.21
20260417,66.81
20260420,68.13
20260421,62.61
20260422,72.41
20260423,76.46
20260424,71.00
20260427,75.93
20260428,69.09
20260429,64.98
20260430,72.50
20260501,70.40
20260504,68.60
20260505,68.38
20260506,79.62
20260507,71.83
20260508,72.51
20260511,78.13
20260512,73.63
20260513,69.66
20260514,67.21
20260515,62.25
20260518,58.56
20260519,55.88
20260520,62.58
20260521,65.09
20260522,65.88
20260526,68.70
20260527,67.82
20260528,68.09
20260529,66.88
20260601,66.89
20260602,73.47
20260603,65.21
20260604,65.39
20260605,58.09
20260608,58.94
20260609,56.48
20260610,54.02
20260611,57.86
20260612,57.49
20260615,60.74
20260616,57.45
20260617,58.82
20260618,61.17
20260622,58.40
20260623,57.19
20260624,54.06
20260625,51.01
20260626,50.00
20260629,52.76
20260630,52.33
